country,MPI,lat,lon
Afghanistan,0.387,36.7347725,70.8119953
Afghanistan,0.466,35.1671339,63.7695384
Afghanistan,0.3,35.8042947,69.2877535
Afghanistan,0.301,36.7550603,66.8975372
Afghanistan,0.325,34.8100067,67.8212104
Afghanistan,0.313,33.669495,66.0463534
Afghanistan,0.319,32.4464635,62.1454133
Afghanistan,0.25,36.0795613,64.905955
Afghanistan,0.245,33.5450587,68.4173972
Afghanistan,0.384,34.0995776,64.905955
Afghanistan,0.261,31.3636474,63.9586111
Afghanistan,0.353,11.6155109,104.3791912
Afghanistan,0.293,36.8969692,65.6658568
Afghanistan,0.117,34.5553494,69.207486
Afghanistan,0.437,31.628871,65.7371749
Afghanistan,0.28,34.9810572,69.6214562
Afghanistan,0.296,33.3338472,69.9371673
Afghanistan,0.269,34.8465893,71.097317
Afghanistan,0.294,36.7285907,68.8680663
Afghanistan,0.369,34.6897687,70.1455805
Afghanistan,0.187,34.0145518,69.1923916
Afghanistan,0.287,34.1718313,70.6216794
Afghanistan,0.231,31.0261488,62.4504154
Afghanistan,0.611,35.3250223,70.9071236
Afghanistan,0.137,32.2645386,68.5247149
Afghanistan,0.218,33.706199,69.3831079
Afghanistan,0.12,35.5025772,69.9550338
Afghanistan,0.294,34.9630977,68.8108849
Afghanistan,0.35,35.9807296,67.5708536
Afghanistan,0.341,35.6707473,66.0463534
Afghanistan,0.361,36.6698013,69.4784541
Afghanistan,0.624,32.9271287,66.1415263
Afghanistan,0.34,34.3513494,68.2385339
Afghanistan,0.175,32.1918782,67.1894488
Albania,,,
Armenia,,,
Azerbaijan,,,
Burundi,0.164,-3.4146958,29.3598782
Burundi,0.501,-3.373056,29.918886
Burundi,0.473,9.0630743,7.464915
Burundi,0.499,-3.373056,29.918886
Burundi,0.422,14.6090537,121.0222565
Benin,0.528,10.9681093,2.7779813
Benin,0.454,10.7954931,1.6760691
Benin,0.278,6.6588391,2.2236667
Benin,0.351,9.5340864,2.7779813
Benin,0.292,13.718252,-2.302446
Benin,0.345,7.0035894,1.7538817
Benin,0.335,9.7191867,1.6760691
Benin,0.083,6.3806973,2.4406387
Benin,0.259,6.6607182,1.7538817
Benin,0.238,,
Benin,0.347,7.3445141,2.539603
Benin,0.334,7.3469268,2.0665197
Burkina Faso,0.591,8.8556838,7.179026
Burkina Faso,0.493,10.4072992,-4.5624426
Burkina Faso,0.207,12.3425897,-1.443469
Burkina Faso,0.58,11.5247674,-0.1494988
Burkina Faso,0.575,13.1724464,-0.9056623
Burkina Faso,0.554,11.8798466,-2.302446
Burkina Faso,0.513,11.5228911,-1.0586135
Burkina Faso,0.698,12.4365526,0.9056623
Burkina Faso,0.459,11.4942003,-4.2333355
Burkina Faso,0.581,,
Burkina Faso,0.524,12.2537648,-0.7532809
Burkina Faso,0.69,14.1000865,-0.1494988
Burkina Faso,0.655,10.4231493,-3.2583626
Bangladesh,0.224,22.7029212,90.3465971
Bangladesh,0.186,22.3475365,91.8123324
Bangladesh,0.174,23.810332,90.4125181
Bangladesh,0.156,22.845641,89.5403279
Bangladesh,0.192,24.3635886,88.6241351
Bangladesh,0.206,25.7438916,89.275227
Bangladesh,0.32,24.904539,91.8611011
Bosnia and Herzegovina,,,
Belize,0.026,18.4030802,-88.3967536
Belize,0.019,18.0842472,-88.5710266
Belize,0.005,30.7326622,31.7195459
Belize,0.013,16.8116631,-88.4016041
Belize,0.019,16.2491923,-88.864698
Belize,0.054,17.0984445,-88.9413865
Belize,0.005,17.4891317,-88.188656
"Bolivia, Plurinational State of",0.145,-20.0249144,-64.1478236
"Bolivia, Plurinational State of",0.077,-16.489689,-68.1192936
"Bolivia, Plurinational State of",0.105,-17.4139766,-66.1653224
"Bolivia, Plurinational State of",0.073,26.9373041,90.4879916
"Bolivia, Plurinational State of",0.168,,
"Bolivia, Plurinational State of",0.081,-21.5213825,-64.7280952
"Bolivia, Plurinational State of",0.043,-17.8145819,-63.1560853
"Bolivia, Plurinational State of",0.099,-14.3782747,-65.0957792
"Bolivia, Plurinational State of",0.087,-10.7988901,-66.9988011
Brazil,0.072,-9.0237964,-70.8119953
Brazil,0.042,-9.5713058,-36.7819505
Brazil,0.022,,
Brazil,0.044,-3.4168427,-65.8560646
Brazil,0.029,-12.579738,-41.7007272
Brazil,0.029,-21.3223397,-46.3694179
Brazil,0.008,-15.7997654,-47.8644715
Brazil,0.018,,
Brazil,0.017,,
Brazil,0.046,-8.7224084,125.5712576
Brazil,0.019,-12.6818712,-56.921099
Brazil,0.019,-20.7722295,-54.7851531
Brazil,0.021,-18.512178,-44.5550308
Brazil,0.016,,
Brazil,0.032,,
Brazil,0.035,,
Brazil,0.027,-8.8137173,-36.954107
Brazil,0.039,,
Brazil,0.03,-5.4025803,-36.954107
Brazil,0.012,-30.0346316,-51.2176986
Brazil,0.011,-22.9068467,-43.1728965
Brazil,0.024,-17.8251657,31.03351
Brazil,0.029,2.7375971,-62.0750998
Brazil,0.019,-27.2423392,-50.2188556
Brazil,0.034,-10.5740934,-37.3856581
Brazil,0.012,-23.5671844,-46.7387185
Brazil,0.03,-10.17528,-48.2982474
Barbados,,,
Bhutan,0.042,27.641839,90.6773046
Bhutan,0.121,27.0784304,89.4742177
Bhutan,0.222,27.0322861,89.8879304
Bhutan,0.059,27.2651669,89.1705998
Bhutan,0.151,27.8264989,91.135302
Bhutan,0.165,27.2617059,91.2891036
Bhutan,0.026,27.428684,89.4163654
Bhutan,0.128,27.98785,86.9250261
Bhutan,0.088,27.5920869,89.8797459
Bhutan,0.149,26.8035682,91.5039207
Bhutan,0.197,27.0291832,89.0561532
Bhutan,0.102,-2.5546618,29.6035495
Bhutan,0.016,27.4727924,89.6392863
Bhutan,0.132,27.3325014,91.5523435
Bhutan,0.121,-20.3446313,44.7006138
Bhutan,0.148,27.5002269,90.5080634
Bhutan,0.196,27.032207,90.1869644
Bhutan,0.099,27.4879018,89.8996196
Bhutan,0.184,27.076975,90.8294002
Central African Republic,0.403,5.1188825,18.4276047
